Season,Year,League,Team,C,F1,F2,G1,G2
04-May,2004,NBA,3rd,Ben Wallace ,Shawn Marion ,Tracy McGrady ,Gilbert Arenas ,Kobe Bryant 
03-Apr,2003,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Kevin Garnett ,Kobe Bryant ,Jason Kidd 
03-Apr,2003,NBA,2nd,Ben Wallace ,Jermaine O'Neal ,Peja Stojakovic,Sam Cassell ,Tracy McGrady 
03-Apr,2003,NBA,3rd,Yao Ming ,Metta World,Dirk Nowitzki ,Baron Davis ,Michael Redd 
02-Mar,2002,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Kevin Garnett ,Kobe Bryant ,Tracy McGrady 
02-Mar,2002,NBA,2nd,Ben Wallace ,Dirk Nowitzki ,Chris Webber ,Allen Iverson ,Jason Kidd 
02-Mar,2002,NBA,3rd,Jermaine O'Neal ,Jamal Mashburn ,Paul Pierce ,Stephon Marbury ,Steve Nash 
01-Feb,2001,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Tracy McGrady ,Kobe Bryant ,Jason Kidd 
01-Feb,2001,NBA,2nd,Dirk Nowitzki ,Kevin Garnett ,Chris Webber ,Allen Iverson ,Gary Payton 
01-Feb,2001,NBA,3rd,Dikembe Mutombo ,Jermaine O'Neal ,Ben Wallace ,Steve Nash ,Paul Pierce 
Jan-00,2000,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Chris Webber ,Allen Iverson ,Jason Kidd 
Jan-00,2000,NBA,2nd,Dikembe Mutombo ,Vince Carter ,Kevin Garnett ,Kobe Bryant ,Tracy McGrady 
Jan-00,2000,NBA,3rd,David Robinson ,Karl Malone ,Dirk Nowitzki ,Ray Allen ,Gary Payton 
1999-00,1999,NBA,1st,Shaquille O'Neal ,Tim Duncan ,Kevin Garnett ,Jason Kidd ,Gary Payton 
1999-00,1999,NBA,2nd,Alonzo Mourning ,Grant Hill ,Karl Malone ,Kobe Bryant ,Allen Iverson 
1999-00,1999,NBA,3rd,David Robinson ,Vince Carter ,Chris Webber ,Eddie Jones ,Stephon Marbury 
1998-99,1998,NBA,1st,Alonzo Mourning ,Tim Duncan ,Karl Malone ,Allen Iverson ,Jason Kidd 
1998-99,1998,NBA,2nd,Shaquille O'Neal ,Grant Hill ,Chris Webber ,Tim Hardaway ,Gary Payton 
1998-99,1998,NBA,3rd,Hakeem Olajuwon ,Kevin Garnett ,Antonio McDyess ,Kobe Bryant ,John Stockton 
